State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
AASAM,MINISO CHIRANG,"Chapaguri Road,rwimupur,ward No.4, Near Royal Decor, 1st Floor , Chirang , Vassam",09:30 AM to 8:00 PM,"MINISO CHIRANG, AASAM",26.6519383,90.62693595
AASAM,MINISO DIPHU,Rongkhelan Opp. Don Bosco Higher Secondary School Diphu - 782460,9:30 AM to 8:00 PM,"MINISO DIPHU, AASAM",25.84703,93.42487
Ahmedabad,TRP MALL AHEMEDABAD,"Shop No.67&68, Trp Mall, Brts Main Road , Bhopal , Ahmedabad, Gujrat 3080058",11:00 AM to 10:00 PM,"TRP MALL AHEMEDABAD, Ahmedabad",23.03145,72.47071
Ahmedabad,CG ROAD,"Shop No. 3, Rudra Plus Complex, Chimanlal Girdhar Lal Road, Opp. Girish Coldrink, Ahmedabad, Gujarat",,"CG ROAD, Ahmedabad",23.0224061,72.55634198
Ahmedabad,CG ROAD,"Shop No. 3, Rudra Plus Complex, Chimanlal Girdhar Lal Road, Opp. Girish Coldrink, Ahmedabad, Gujarat - 380009",11:00 AM to 9:00 PM,"CG ROAD, Ahmedabad",23.0224061,72.55634198
Aizawl,MSR MARKET,"Msr Market, Near Basketball Court, Babutlang, Zarkawt, Aizawl, Mizoram - 796001",11:00 AM to 9:00 PM,"MSR MARKET, Aizawl",23.72894,92.71791
AJMER,MINISO AJMER,"Plot No 5, G-floor, Vaishali Nagar, Ajmer, Rajasthan
",11:00 AM - 10:00 PM,"MINISO AJMER, AJMER",26.46554,74.63173
Ambala,AMBALA,"Shop No. 35, Nh-1 Factory Stores, Ambala-delhi Highway, Kuldeep Nagar, Ambala Cantt-133004 Haryana",11:00 AM - 10:00 PM,"AMBALA, Ambala",30.36099,76.79782
Amritsar,MALL OF AMRITSAR,"Mall Of Amritsar, Mbm Farm, G T Road, Amritsar, Punjab - 143001",11:00 AM to 10:00 PM,"MALL OF AMRITSAR, Amritsar",31.6192,74.90789
Amritsar,TRILIUM MALL,"Trilium Mall, Plot No. C- Adjacent Nirankari Colony, 4, Circular Road, Medical Enclave, Amritsar, Punjab - 143001",11:00 AM to 10:00 PM,"TRILIUM MALL, Amritsar",31.65794,74.87799
Andra Pradesh,MINISO KAKINADA,"


104,1st Floor ,82 East Srmt Mall,kakinada,andra Pradesh 533005


",10:00 AM to 9:00 PM,"MINISO KAKINADA, Andra Pradesh",16.96036,82.23809
Andra Pradesh,MINISO KURNAAL,"


117, 1st Floor,jyoti Mall,gandhi Nagar,kurnool.


",10:00 AM to 9:00 PM,"MINISO KURNAAL, Andra Pradesh",14.43173,79.96719
Andra Pradesh,GANDHI NAGAR VELLORE,25 14th East Cross Road Opp Pvr Velocity Gandhi Nagar Vellore,10:30 AM to 9:00 PM,"GANDHI NAGAR VELLORE, Andra Pradesh",14.41159085,79.94823592
Andra Pradesh,KURNOOL ROAD ONGOLE,"Sabrigrisha Complex 1st Floor, Shop No-22, Ongole, Andhra Pradesh 523001",10:30 AM to 9:00 PM,"KURNOOL ROAD ONGOLE, Andra Pradesh",15.5289985,80.01164365
Andra Pradesh,PVP MALL,"Pvp Square ,door No: 39-1-57, M.g Road,1f-12-14, Pin- 520010",9:30 AM to 9:30 PM,"PVP MALL, Andra Pradesh",16.50606,80.64436
Andra Pradesh,MGB FELICITY MALL,"Mgb Felicity Mall, Nellore, Dargamitta Ward No. 24, Nellore District, Nellore Town, Plot Bearing Number 15 To 23 In Survey No.s, Old Survey No. 1866/4, Resurvey No. 1576/1045 And Old Survey No. 1867/1, Re-survey 1576/1049 Pin- 524003",10:30 AM to 9:30 PM,"MGB FELICITY MALL, Andra Pradesh",14.44332,79.9727
Arunachal Pradesh,MINISO AALO,"Sumo Counter ,opposite New Market,aalo,west Siang ,arunachal Pradesh
",10:00 AM to 8:00 PM,"MINISO AALO, Arunachal Pradesh",28.17012,94.79823
Arunachal Pradesh,LIKABALI STORE,Miniso Likabali Main Market Arunachal Pradesh,10:00 AM to 7:00 PM,"LIKABALI STORE, Arunachal Pradesh",27.70494,94.67236
Arunachal Pradesh,NAHARLAGUN,"Nh415, Behind R J. Jewellers, A - Sector, 791110
",10:00 AM to 8:00 PM,"NAHARLAGUN, Arunachal Pradesh",27.10838,93.69792
Arunachal Pradesh,ZERO POINT ZERO POINT,"Building Sunsine Plaza, Opp Bank Of Baroda,0, Point Tiniali, Itanagar-791111
",10:00 AM to 8:00 PM,"ZERO POINT ZERO POINT, Arunachal Pradesh",27.8123,93.53373
Arunachal Pradesh,PASIGHAT,"Taga Building, Near Pane Hotel, Pashighat, Arunachal Pradesh-791102
",09:00 AM to 07:00 PM,"PASIGHAT, Arunachal Pradesh",28.06697,95.3268
aurangabad,NIRALA BAZAAR AURANGABAD,Shop No 13.14 Tapadiya Circle Near Domino's Nirala Bazar Aurangabad,10:00 AM to 10:10 PM,"NIRALA BAZAAR AURANGABAD, aurangabad",19.87834381,75.32584472
BELAGAVI,SHERI LIFESTYLES,Khade Bazzar,10:00 AM to 9:00 PM,"SHERI LIFESTYLES, BELAGAVI",15.86702,74.51167
Bengaluru,RR NAGAR,Rr Nagar Store,10:00 AM to 9:00 PM,"RR NAGAR, Bengaluru",13.02445,77.59583
Bengaluru,FORUM NEIGHBOURHOOD MALL,"No 62 Prestige Ozone, Whitefield Bengaluru Karnataka Post Code-560066",10:00 AM to 9:30 PM,"FORUM NEIGHBOURHOOD MALL, Bengaluru",12.96005,77.74714
Bengaluru,JAYANAGAR 4TH BLOCK MARKET STORE,"Shop No 2,3,4,10 Main ,27th B Cross Jayanagar 4rth Block, Bangalore 560041
",10:30 AM to 9:00 PM,"JAYANAGAR 4TH BLOCK MARKET STORE, Bengaluru",12.92861,77.58447
Bengaluru,PHOENIX MALL,"Frist Floor Phoenix Market City,bangalore,whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048",11:00 AM to 9:30 PM,"PHOENIX MALL, Bengaluru",12.98401,77.64063
Bengaluru,FORUM MALL,"Frist Floor,shop No-117 The Forum Mall,21 Hosur Road, Bengalure Urban Karnataka,560095",10:00 AM to 9:30 PM,"FORUM MALL, Bengaluru",12.96758,77.58912
Bengaluru,BRIDAGE ROAD STORE,"Miniso Lifestyle Pvt Ltd Muniv=cipal No 217 Old No,1 Brigade Road Bangalure(bangalore) Urban,karnataka,560001",11:00 AM to 8:30 PM,"BRIDAGE ROAD STORE, Bengaluru",12.99082,77.75073
Bengaluru,ORION MALL AT BRIGADE GATEWAY,"Brigade Gateway, 26/1 Dr. Rajkumar Road, Malleshwaram West, Bengaluru, Karnataka - 560055",11:00 AM to 10:00 PM,"ORION MALL AT BRIGADE GATEWAY, Bengaluru",13.01210432,77.55499001
Bengaluru,JAYANAGAR,"Shop Premises No. 2, No. 3, No. 4, Ground Floor New No. 2801/1, 2801/2, 2801/3, 28th Cross, 10th Main Road, 4th Block, Jayanagar, Bengaluru - 560011",11:00 AM to 9:00 PM,"JAYANAGAR, Bengaluru",12.92868,77.5827
Bengaluru,GOPALAN SIGNATURE MALL,"Shop # Gf 1a, No. 6, Ground Floor, Gopalan Signature Mall, Old Madras Road, Nagavara Palya, Cv Raman Nagar, Bengaluru, Karnataka - 560093",11:00 AM to 10:00 PM,"GOPALAN SIGNATURE MALL, Bengaluru",12.99326,77.66148
Bengaluru,INDIRANAGAR,"No. 1134, 100 Feet Road, Hal 2nd Stage, Indiranagar, Bengaluru",11:00 AM to 9:00 PM,"INDIRANAGAR, Bengaluru",13.03006,77.49526
Bengaluru,RMZ GALLERIA MALL,"Rmz Galleria Mall, Opposite Yelahanka Police Station, Ambedkar Colony, Yelahanka, Bengaluru, Karnataka - 560064",11:00 AM to 10:00 PM,"RMZ GALLERIA MALL, Bengaluru",13.09441,77.59471
Bengaluru,FORUM SHANTINIKETAN,"Forum Shantiniketan Mall, Thiglarapalya, Whitefield, Bengaluru, Karnataka - 560067",11:00 AM to 10:00 PM,"FORUM SHANTINIKETAN, Bengaluru",12.98944,77.72707
Bengaluru,COMMERCIAL STREET,"Al Karam 110, Commercial Street, Bengaluru, Karnataka - 560001",11:00 AM to 9:00 PM,"COMMERCIAL STREET, Bengaluru",12.98223177,77.60826889
Bengaluru,BRIGADE ROAD,"Haridevpur, Shantala Nagar, Ashok Nagar, Bengaluru, Karnataka - 560001",11:00 AM to 9:00 PM,"BRIGADE ROAD, Bengaluru",12.97504999,77.60797998
Bengaluru,PHOENIX MARKETCITY BANGALORE,"First Floor, Phoenix Marketcity, Whitefield Main Road, Bengaluru",11:00 AM to 10:00 PM,"PHOENIX MARKETCITY BANGALORE, Bengaluru",12.99546,77.69585
Bhatinda,MINISO BHATINDA,"Shop No 117, Nh7, Factory Outlet Barnala Highway Bhuchomandi Bhatinda, Punjab-151101",11:00 AM - 09:30 PM,"MINISO BHATINDA, Bhatinda",30.20747,74.93893
Bhilai,BHILAI MINISO,"36a 1st Floor ,suriyamall Teasure Bhilai",10:00 AM to 9:00 PM,"BHILAI MINISO, Bhilai",21.22074,81.37976
Bhilai,VYAVASAYIK  PARISAR,"Vyavasayik  Parisar, Akashganga, Opp. India Coffee House, Supela, Bhilai, Chhattisgarh - 490023",11:00 AM to 9:00 PM,"VYAVASAYIK  PARISAR, Bhilai",21.22074,81.37976
Bhubaneswar,KIIT SQUARE,"Lower Ground Floor, Maruti Corner, Kiit Square, Patia, Bhubaneswar, Odisha - 751024",11:00 AM to 9:00 PM,"KIIT SQUARE, Bhubaneswar",20.35332,85.82639
Bhubaneswar,ESPLANADE,"Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar, Odisha - 751007",11:00 AM to 10:00 PM,"ESPLANADE, Bhubaneswar",20.29133,85.85746
Chandigarh,MINISO SECTOR-35,"Sco No.461, Sector 35c, Chandigarh, Punjab, 166003",11:00 AM - 09:30 PM,"MINISO SECTOR-35, Chandigarh",30.72586,76.75954
